i	P	T
0	1.01624869E-05	2.69027960E+03
1	1.04954243E-05	2.69027410E+03
2	1.08392691E-05	2.69026842E+03
3	1.11943788E-05	2.69026256E+03
4	1.15611224E-05	2.69025651E+03
5	1.19398810E-05	2.69025026E+03
6	1.23310483E-05	2.69024380E+03
7	1.27350308E-05	2.69023713E+03
8	1.31522483E-05	2.69023024E+03
9	1.35831345E-05	2.69022313E+03
10	1.40281370E-05	2.69021578E+03
11	1.44877185E-05	2.69020820E+03
12	1.49623566E-05	2.69020036E+03
13	1.54525444E-05	2.69019227E+03
14	1.59587915E-05	2.69018392E+03
15	1.64816239E-05	2.69017529E+03
16	1.70215851E-05	2.69016638E+03
17	1.75792361E-05	2.69015717E+03
18	1.81551566E-05	2.69014767E+03
19	1.87499451E-05	2.69013785E+03
20	1.93642196E-05	2.69012771E+03
21	1.99986187E-05	2.69011724E+03
22	2.06538016E-05	2.69010643E+03
23	2.13304491E-05	2.69009526E+03
24	2.20292646E-05	2.69008373E+03
25	2.27509743E-05	2.69007182E+03
26	2.34963282E-05	2.69005952E+03
27	2.42661010E-05	2.69004682E+03
28	2.50610925E-05	2.69003370E+03
29	2.58821292E-05	2.69002015E+03
30	2.67300641E-05	2.69000616E+03
31	2.76057786E-05	2.68999171E+03
32	2.85101827E-05	2.68997678E+03
33	2.94442163E-05	2.68996137E+03
34	3.04088503E-05	2.68994546E+03
35	3.14050869E-05	2.68992902E+03
36	3.24339617E-05	2.68991204E+03
37	3.34965439E-05	2.68989451E+03
38	3.45939378E-05	2.68987641E+03
39	3.57272838E-05	2.68985771E+03
40	3.68977599E-05	2.68983840E+03
41	3.81065823E-05	2.68981846E+03
42	3.93550075E-05	2.68979787E+03
43	4.06443329E-05	2.68977660E+03
44	4.19758984E-05	2.68975463E+03
45	4.33510878E-05	2.68973195E+03
46	4.47713304E-05	2.68970853E+03
47	4.62381021E-05	2.68968433E+03
48	4.77529274E-05	2.68965935E+03
49	4.93173804E-05	2.68963355E+03
50	5.09330871E-05	2.68960691E+03
51	5.26017266E-05	2.68957939E+03
52	5.43250331E-05	2.68955097E+03
53	5.61047976E-05	2.68952163E+03
54	5.79428696E-05	2.68949132E+03
55	5.98411595E-05	2.68946002E+03
56	6.18016400E-05	2.68942770E+03
57	6.38263486E-05	2.68939432E+03
58	6.59173895E-05	2.68935985E+03
59	6.80769359E-05	2.68932425E+03
60	7.03072320E-05	2.68928749E+03
61	7.26105957E-05	2.68924953E+03
62	7.49894209E-05	2.68921032E+03
63	7.74461798E-05	2.68916983E+03
64	7.99834255E-05	2.68912802E+03
65	8.26037950E-05	2.68908485E+03
66	8.53100114E-05	2.68904026E+03
67	8.81048873E-05	2.68899421E+03
68	9.09913273E-05	2.68894666E+03
69	9.39723311E-05	2.68889755E+03
70	9.70509967E-05	2.68884684E+03
71	1.00230524E-04	2.68879447E+03
72	1.03514217E-04	2.68874039E+03
73	1.06905488E-04	2.68868454E+03
74	1.10407862E-04	2.68862687E+03
75	1.14024979E-04	2.68856732E+03
76	1.17760597E-04	2.68850582E+03
77	1.21618600E-04	2.68844231E+03
78	1.25602996E-04	2.68837673E+03
79	1.29717927E-04	2.68830900E+03
80	1.33967669E-04	2.68823907E+03
81	1.38356638E-04	2.68816685E+03
82	1.42889396E-04	2.68809227E+03
83	1.47570653E-04	2.68801526E+03
84	1.52405275E-04	2.68793574E+03
85	1.57398286E-04	2.68785362E+03
86	1.62554876E-04	2.68776882E+03
87	1.67880402E-04	2.68768125E+03
88	1.73380400E-04	2.68759083E+03
89	1.79060585E-04	2.68749747E+03
90	1.84926862E-04	2.68740105E+03
91	1.90985326E-04	2.68730149E+03
92	1.97242274E-04	2.68719869E+03
93	2.03704208E-04	2.68709254E+03
94	2.10377844E-04	2.68698293E+03
95	2.17270118E-04	2.68686974E+03
96	2.24388192E-04	2.68675287E+03
97	2.31739465E-04	2.68663220E+03
98	2.39331576E-04	2.68650759E+03
99	2.47172415E-04	2.68637893E+03
100	2.55270130E-04	2.68624608E+03
101	2.63633139E-04	2.68610890E+03
102	2.72270131E-04	2.68596727E+03
103	2.81190083E-04	2.68582102E+03
104	2.90402265E-04	2.68567002E+03
105	2.99916252E-04	2.68551411E+03
106	3.09741930E-04	2.68535313E+03
107	3.19889511E-04	2.68518693E+03
108	3.30369541E-04	2.68501532E+03
